node,baseMultiaddr
0xf3de249c636cc059c44f26925f7b0745a475c882,/ip4/194.60.201.144/tcp/9091
0x5e2f7920e6939d9a502e00ad60808b7b2478483e,/ip4/207.180.236.118/tcp/9091
0x5c3d220a24d1cee70032282c5aaa581a101383fe,/ip4/5.189.135.108/tcp/9091
0x4eca92a298c445ebe7af202273030abd36011b44,/ip4/128.140.50.93/tcp/9091
0xb9429bc7827aefc8c99e74ac8f1f48fc397365a5,/ip4/65.109.26.149/tcp/9091
0xa5e74cf5a4a243bba083e3ffa2e5f202de71a794,/ip4/77.97.236.204/tcp/9091
0xdda77302f9abcf318e43c58835ef7bbace747997,/ip4/88.217.142.242/tcp/49126
0x932cb18a0663fac8c5fd5d3bbd9a53d89ac2402e,/ip4/65.108.69.42/tcp/9091
0x8b252b9c8fa8e8857aa51cc90d207aac34bafc90,/ip4/38.242.129.41/tcp/9091
0xc2a6a0cd2335dfd815ebda2c377470886cdc55a5,/ip4/198.135.53.76/tcp/9091
0x0f375299ace67dd161a43c4d1202cf36e82c6ddf,/ip4/173.249.31.248/tcp/9091
0xcc439312cfe5f4ff54cc4ba01ee7d2e57230411d,/ip4/91.211.83.212/tcp/9091
0x7af05c4cc5ff33ba6260ec61cefaaeddbd5ecf73,/ip4/181.61.209.21/tcp/9091
0xa3c372301f1abe885d93abbaef364686ab78b29f,/ip4/181.214.99.129/tcp/9091
0xe8eae3e9d4159a041a80dfe31957564e239e9975,/ip4/185.225.233.253/tcp/9091
0xbb4e23d59b4735e14ef26aa48750af5e9685d460,/ip4/88.217.142.242/tcp/49102
0x2d002d0ad934f8dd1bcd0b027521c535a7c5c846,/ip4/198.135.52.85/tcp/9091
0x6bc5456a8a90f58eb3a0d4789c47060964238f1d,/dns4/robertkiel.dev/tcp/9191
0xf3cde733a4899e64aff10fed59f9c6b8ece7e138,/ip4/89.116.25.155/tcp/9092
0x4ab504e3805780637ebb3f25e9b34e928d8e5383,/ip4/65.21.245.19/tcp/9091
0xaf695285f8ac0ec525ed0742056511b65de55b44,/ip4/162.19.155.111/tcp/9091
0xa6504b06a3dd5762eba0a00b884d6364ebadebc9,/ip4/82.146.52.63/tcp/9091
0x9ce3e5b6aae13e894ecd2f7198c660c93dd4697b,/ip4/65.21.243.151/tcp/9091
0xeac44aa0bb7a4c8ea092b0f0c13e160ba450075b,/ip4/178.254.34.116/tcp/9092
0x219261727a638b4cdc2d1f9fd9b046a5dc4bb412,/dns4/hoprnode.hopto.org/tcp/9092
0xb26de08f83ee908363383759304c137149aad3a8,/ip4/89.116.28.222/tcp/9091
0x2327a198ce9eead2fd2183b9583993d3bf6d9457,/ip4/78.47.109.179/tcp/9091
0x76732fa31cc5519b22cae8634248117849e1e114,/ip4/184.23.212.125/tcp/9091
